Skills,Apple,AmeriSourceBergen,Berkshire Hathaway,AT&T,McKesson,Exxon Mobil,General Motors,UnitedHealth Group,Walgreens,Verizon,Amazon,Walmart,CVS Health,Total
management,37,53,58,38,44,52,58,66,65,53,71,33,67,695
communications,39,61,24,68,41,66,58,51,28,99,59,3,52,649
erequirements,93,37,22,63,70,44,73,50,5,24,44,13,68,606
customer service,11,26,56,18,20,11,0,20,100,43,10,38,93,446
operations,14,21,22,28,47,28,38,27,100,12,54,14,25,430
sales,49,20,3,56,18,11,3,8,88,46,15,45,46,408
collaboration,1,11,52,25,11,34,91,38,4,8,7,2,29,313
leadership,17,26,6,5,15,32,26,22,23,40,47,9,28,296
writing,8,24,13,24,7,4,17,3,92,1,14,1,8,216
problem solving,25,45,5,6,9,22,28,14,0,30,32,0,0,216
computer science,0,26,22,35,2,9,30,3,0,45,30,3,0,205
planning,1,15,18,5,10,16,21,10,8,53,13,10,1,181
innovation,0,5,6,0,12,51,23,54,0,9,13,1,0,174
presentations,27,34,8,25,8,1,8,16,0,5,13,20,0,165
disabilities,0,5,0,0,85,0,0,0,0,0,63,0,0,153
ordinances,0,0,50,0,0,0,0,0,93,0,6,0,0,149
perspective,0,5,2,1,9,18,91,3,0,3,14,3,0,149
it++,11,17,7,7,15,25,23,20,0,0,16,0,0,141
sql,0,5,10,23,2,12,16,11,0,42,14,3,0,138
track,7,18,3,21,11,3,24,9,0,12,27,1,1,137
eye contact,0,0,0,0,0,0,0,0,96,0,0,0,35,131
pharmaceuticals,0,44,0,0,38,0,0,1,37,0,1,7,0,128
python,0,2,0,19,1,18,26,8,0,37,13,3,0,127
integration,0,7,14,7,7,12,41,13,0,12,7,1,0,121
automation,0,2,6,9,18,13,18,10,4,23,16,1,0,120
inventory management,0,1,0,0,4,2,2,1,49,0,2,17,39,117
source,1,3,0,10,1,5,33,2,0,21,10,0,29,115
troubleshooting,13,7,1,6,16,22,13,0,0,29,7,0,0,114
research,0,14,17,0,8,2,7,14,0,35,15,1,0,113
prescription,0,5,0,0,6,0,0,4,51,0,0,14,31,111
cash register,0,0,0,0,0,0,0,0,88,0,0,19,2,109
ecognition,0,0,1,0,0,1,89,8,1,2,1,4,0,107
software development,0,2,12,27,3,4,24,5,0,6,24,0,0,107
project management,0,9,0,3,11,6,17,11,0,35,14,0,0,106
transparency,0,0,97,0,2,2,4,0,0,0,0,0,0,105
java,0,1,3,12,0,6,20,9,0,27,24,3,0,105
programming,0,2,8,24,1,9,23,5,0,10,21,1,0,104
