Skill,Honeywell,CVS,HomeDepot,Intel,Gap,Rite Aid,Facebook,AAP,Best Buy,AmeriSource Bergen,Murphy USA,Jabil,General Motors,Marriott International,General Electronics,AT&T,Verizon,Darden Restaurants,Cintas,Lockheed Martin,Quest Diagnostics,PayPal,Goodyear Tire & Rubber,McKesson,ExxonMobil,Albertsons,ADP,DaVita,Well Forgo,Danaher,Berkshire_Hathaway,XPO_Logistics,UPS,Amazon,Anthem,Apple,Bank of America,BNY Mellon,CBRE,Cisco,L3 Harris,HCA HealthCare,Kroger,Microsoft,Raytheon Technologies,MC Donalds,UHG,Walgreens,Truist,Walmart,Walt Disney,Cognizant,Target,Tenet Healthcare,Dell,Total
communications,1181,44,644,416,379,110,968,622,22,294,1552,594,217,1046,572,1538,2214,164,210,762,293,873,894,264,134,512,612,154,544,633,24,308,246,2639,787,1585,902,598,829,1369,679,472,3403,1261,1755,402,889,3220,1388,438,768,2561,2980,1395,2049,51409
customer service,396,1597,1145,11,82,2426,36,721,1182,200,1785,146,9,804,112,977,1776,0,1355,75,770,100,235,94,16,1105,463,53,867,200,21,681,449,1022,787,172,252,31,648,125,77,711,5248,255,199,230,1212,5951,83,4440,77,307,17,1972,314,44019
operations,650,443,510,92,152,750,600,178,215,89,22,329,96,844,327,151,205,115,55,610,245,477,70,103,83,314,152,221,2632,415,2,613,743,3329,432,550,283,434,1273,709,509,182,1097,788,1364,34,547,829,597,801,688,2423,7783,453,777,38385
sales,618,38,386,41,2940,349,213,2359,1099,220,171,25,14,348,314,2221,1089,36,658,27,70,399,394,92,17,551,765,14,440,502,0,466,76,833,435,230,1463,83,411,1226,90,5,2341,897,121,400,339,294,1478,3366,286,112,1836,14,1637,34849
management,697,473,319,82,215,505,393,540,108,196,215,469,90,428,226,162,192,34,315,565,158,537,152,142,41,287,245,254,1909,451,37,267,240,2381,1167,599,406,823,1648,610,495,379,3781,776,1013,633,861,886,279,890,372,1594,582,680,1239,33038
customer experience,173,488,352,71,582,217,68,358,2216,11,1747,2,50,68,29,418,160,0,0,21,9,135,119,17,7,124,32,1,316,48,0,8,21,1527,58,358,27,5,56,1241,7,9,4746,1100,30,414,81,10666,2,129,15,73,2,2,555,28971
cash register,0,16,5,0,0,2005,0,0,0,0,1753,0,0,2,0,0,0,0,0,0,0,2,0,0,0,361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,729,0,0,5,0,9649,0,2204,0,0,7655,5,2,24395
innovation,1928,1748,77,155,595,3,139,19,11,20,0,23,142,40,67,498,102,0,2,515,59,1980,26,60,96,224,316,27,212,383,4,16,2,1191,308,274,116,63,184,2390,95,32,245,1314,737,16,1611,10,33,77,290,2438,41,29,2751,23734
leadership,1921,418,221,166,103,45,381,61,289,99,1,114,98,264,455,158,219,20,129,381,123,410,41,100,74,391,251,297,397,252,3,320,218,1788,762,543,167,158,314,588,289,243,1426,857,770,1561,473,117,184,939,196,675,145,1233,856,22704
it++,290,18,88,69,634,7,77,109,50,81,5,95,189,66,127,191,212,134,6,182,95,76,86,72,69,104,190,1277,454,164,5,110,59,979,332,178,101,128,166,785,76,572,97,651,303,3412,333,28,96,3063,105,3404,19,126,1745,22090
presentations,354,3,152,57,98,6,250,43,24,207,4,58,38,486,180,141,141,540,21,303,80,205,35,68,6,117,167,40,168,227,4,65,37,563,347,469,252,136,731,728,273,71,112,349,568,7,297,18,152,1188,276,3281,3229,66,807,18245
professional services,8,0,1,3,4,0,12,4,0,2,0,1,0,3,19,406,86,0,22,0,3,43,1,3,0,0,12,1,5,5,0,2,0,362,0,15,2,11,21,108,4,1,1,31,1,0,7,0,0,20,8,16182,0,0,355,17775
consultative approaches,2,0,3,0,0,0,7,0,0,3,0,2,0,0,1,10,0,0,0,0,0,1,1,3,0,0,3,0,9,0,0,2,0,13,0,2,2,1,5,8,0,0,0,1,0,0,1,0,0,3,1,17343,0,1,23,17451
planning,413,26,198,79,179,34,205,79,10,64,5,173,68,142,234,104,227,1,19,311,65,171,40,72,43,161,123,1129,175,268,1,115,85,875,529,315,576,157,438,486,328,439,400,537,604,648,246,168,101,247,199,269,1330,1681,736,16328
knowledge management,24,0,2,1,0,0,4,0,0,1,0,0,4,0,7,0,1,0,0,11,1,1,1,1,1,3,3,0,3,1,0,0,0,10,0,4,0,6,4,13,1,0,0,14,9,0,6,0,0,2,1,16147,0,2,21,16310
computer science,482,1,33,403,28,6,774,58,89,208,3,53,191,3,291,286,384,0,1,365,33,502,36,32,40,101,119,7,180,135,24,51,35,3195,119,1640,93,246,67,800,265,4,21,130,728,11,143,11,65,445,262,410,64,12,1511,15196
project management,570,2,203,59,53,11,445,58,17,99,2,166,108,12,329,60,221,1,13,202,73,288,56,89,16,72,363,82,304,276,0,112,51,1547,474,615,73,314,824,329,314,22,25,170,490,11,335,33,60,293,230,2981,43,45,601,14242
collaboration,392,501,113,94,577,10,374,44,17,46,2,41,95,29,566,106,181,0,5,97,97,414,47,70,62,53,336,48,290,180,55,66,11,542,362,450,169,96,117,1093,145,230,24,1683,322,6,1256,19,23,70,262,222,112,627,1166,14015
problem solving,448,6,186,224,82,46,484,300,4,162,0,113,117,58,260,57,149,0,2,306,208,391,185,90,42,90,193,62,437,345,2,113,69,1818,659,884,232,218,211,432,266,133,105,339,598,14,415,3,147,69,227,91,624,207,828,13751
people management,48,0,70,7,31,0,124,1,7,8,0,15,0,5,18,0,32,0,0,0,14,24,30,10,2,8,19,2,50,29,0,5,9,330,36,41,2,119,59,36,6,1,0,123,16,1,12,0,31,5,27,12190,1,2,114,13720
inventory management,15,527,27,3,79,248,8,389,18,33,1,7,4,10,3,10,0,0,3,31,7,1,5,14,2,21,0,11,2,27,0,4,2,131,19,35,3,0,8,5,24,20,22,29,31,723,12,3159,0,2117,12,25,5303,22,25,13237
c#,437,0,12,385,12,2,611,3,8,10,5,49,132,8,163,40,90,0,0,830,13,268,21,17,31,6,135,12,87,113,4,19,14,3630,20,1676,72,178,28,713,332,11,15,458,779,6,96,1,10,49,93,72,18,28,1077,12899
track,250,3,36,51,82,67,355,44,9,88,3,195,51,106,115,80,116,0,0,131,19,388,788,44,9,86,244,280,100,175,3,408,85,1484,124,419,241,140,193,664,109,65,29,501,268,15,213,19,71,70,177,2505,19,34,587,12358
scheduling,75,3,219,20,2118,106,45,116,106,56,1,47,8,714,35,16,20,0,45,118,52,19,233,9,13,155,40,25,81,67,0,30,8,387,124,112,14,47,167,40,132,260,482,63,253,36,319,2992,30,234,106,101,696,687,97,11979
written communication,268,24,179,121,113,2,25,110,6,56,1,40,161,14,450,81,120,0,1,338,150,263,463,58,62,86,326,17,193,252,7,358,81,1558,216,368,191,144,264,261,224,48,938,67,370,10,333,0,614,44,209,61,134,693,450,11623
writing,107,1,76,28,4,0,45,18,6,64,0,58,25,128,71,11,44,0,2,104,50,139,9,25,7,52,55,9,110,97,4,30,32,534,90,242,62,44,70,217,62,23,1389,116,185,4,162,6015,17,196,137,43,17,100,220,11356
integration,190,1,34,96,25,0,107,35,83,21,0,60,150,3,88,128,81,0,2,727,10,373,13,38,10,38,86,8,173,101,6,29,9,359,67,346,142,105,70,252,423,292,13,236,1094,3,138,2,39,53,81,4225,11,131,403,11210
supervisord,63,2,75,3,28,869,2,15,3,8,1,123,13,174,30,1,1,0,4,23,678,7,4,7,4,16,4,14,13,46,4,90,277,8,11,10,8,34,213,3,33,94,70,0,82,3,148,107,278,73,31,6669,0,259,6,10742
python,166,1,42,263,12,0,494,36,10,13,0,19,102,3,128,83,264,0,1,337,6,332,18,15,40,27,71,8,194,53,0,34,7,1237,136,1278,134,110,37,916,145,1,4,122,501,5,174,1,20,128,197,589,52,1,1170,9737
food safety,0,0,0,0,0,8,0,0,0,0,1,0,0,121,0,0,0,1175,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,6,2702,0,0,462,0,0,0,1068,8,0,3903,1,0,9695
