Skills,Apple,AmeriSourceBergen,Berkshire Hathaway,AT&T,McKesson,Exxon Mobil,General Motors,UnitedHealth Group,Walgreens,Verizon,Amazon,Walmart,CVS Health,Total,Type
commercial drivers license,0,0,0,0,5,0,0,0,0,0,1,0,0,6,#N/A
customer,0,0,1,0,0,0,0,0,0,0,0,0,0,1,#N/A
enforcem google hangouts,0,0,1,0,0,0,0,0,0,0,0,0,0,1,#N/A
microsooperations,0,0,1,0,0,0,0,0,0,0,0,0,0,1,#N/A
pl,0,0,1,0,0,0,0,0,0,0,0,0,0,1,#N/A
researsparency,0,0,1,0,0,0,0,0,0,0,0,0,0,1,#N/A
social media workers compensation,0,0,1,0,0,0,0,0,0,0,0,0,0,1,#N/A
sractive c,0,0,1,0,0,0,0,0,0,0,0,0,0,1,#N/A
tranance monitor,0,0,1,0,0,0,0,0,0,0,0,0,0,1,#N/A
valid drivers license,0,1,4,0,0,1,4,1,0,1,1,0,0,13,#N/A
workers compensation,0,0,51,0,0,0,0,0,0,0,2,0,0,53,#N/A
workers compensation claims,0,0,8,0,0,0,0,0,0,0,0,0,0,8,#N/A
accountability,1,3,0,1,3,4,12,7,0,3,2,4,30,70,Soft Skill
action oriented,0,0,0,1,0,0,2,0,0,0,2,0,0,5,Soft Skill
active listening,0,0,2,0,0,0,0,1,0,0,1,0,0,4,Soft Skill
adaptability,0,3,2,0,1,2,0,1,0,0,1,5,0,15,Soft Skill
advocacy,0,1,0,0,1,0,0,1,0,0,0,0,0,3,Soft Skill
agenda,0,0,0,0,0,0,1,0,0,0,2,0,0,3,Soft Skill
android,0,0,0,1,0,0,1,0,0,2,1,0,0,5,Soft Skill
application development,0,3,4,3,2,2,9,1,0,0,1,0,0,25,Soft Skill
basic math,0,0,5,0,0,0,0,0,2,0,0,4,0,11,Soft Skill
basic writing,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Soft Skill
brainstorming,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Soft Skill
business acumen,0,2,0,0,2,1,4,1,3,3,4,0,0,20,Soft Skill
business administration,0,21,0,0,4,11,1,3,0,2,3,0,0,45,Soft Skill
business ethics,0,0,0,0,1,0,0,0,4,0,0,0,0,5,Soft Skill
business operations,0,2,2,0,2,4,1,4,0,1,5,0,0,21,Soft Skill
business savvy,0,0,0,0,0,0,1,0,0,0,2,0,0,3,Soft Skill
checklists,0,1,0,0,1,0,1,2,0,0,0,0,0,5,Soft Skill
cleanliness,0,0,0,0,2,0,0,0,0,0,0,5,0,7,Soft Skill
collaboration,1,11,52,25,11,34,91,38,4,8,7,2,29,313,Soft Skill
communications,39,61,24,68,41,66,58,51,28,99,59,3,52,649,Soft Skill
compassion,1,0,0,0,0,0,0,24,0,0,0,0,66,91,Soft Skill
complex problem solving,0,0,0,0,0,0,1,0,0,1,2,0,0,4,Soft Skill
composure,11,0,0,0,0,0,0,0,0,0,5,0,0,16,Soft Skill
computer literacy,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Soft Skill
computer terminals,0,0,1,0,0,0,0,0,0,0,0,0,65,66,Soft Skill
construction,0,1,1,0,6,3,3,0,0,0,1,0,0,15,Soft Skill
constructive feedback,0,3,3,0,0,0,0,0,11,0,0,0,0,17,Soft Skill
consulting,0,6,0,3,3,5,0,7,4,6,7,3,1,45,Soft Skill
contract reviews,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Soft Skill
cooperation,0,0,0,0,0,2,0,1,0,3,0,0,0,6,Soft Skill
coordinating,0,2,6,1,5,2,0,2,7,0,3,3,0,31,Soft Skill
creative problem-solving,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Soft Skill
creative thinking,0,0,2,0,0,1,2,0,0,0,0,0,0,5,Soft Skill
creativity,0,3,5,1,2,17,15,1,0,6,0,0,0,50,Soft Skill
critical thinking,0,6,5,0,1,3,3,4,0,8,1,0,0,31,Soft Skill
curiosity,10,0,0,9,1,1,2,0,0,3,6,0,0,32,Soft Skill
customer service,11,26,56,18,20,11,0,20,100,43,10,38,93,446,Soft Skill
data entry,0,2,9,0,2,0,0,10,4,0,0,0,0,27,Soft Skill
decision making,1,7,17,0,3,3,11,3,4,1,7,1,0,58,Soft Skill
decisiveness,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Soft Skill
detail oriented,0,3,2,0,2,0,4,9,0,0,6,0,0,26,Soft Skill
editing,0,0,0,0,0,0,0,6,0,0,5,0,0,11,Soft Skill
empathy,12,0,2,1,0,0,0,0,0,0,0,1,1,17,Soft Skill
engagement skills,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Soft Skill
english language,0,22,0,1,0,2,1,0,0,0,3,0,0,29,Soft Skill
enthusiasm,7,0,0,0,1,0,1,0,1,0,4,2,1,17,Soft Skill
ethical conduct,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Soft Skill
eye contact,0,0,0,0,0,0,0,0,96,0,0,0,35,131,Soft Skill
filing,0,1,2,0,0,2,1,1,0,0,0,1,0,8,Soft Skill
first aid,0,0,0,0,0,1,0,1,0,0,2,0,0,4,Soft Skill
french language,0,1,0,0,0,1,0,0,0,0,0,0,0,2,Soft Skill
gmail,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Soft Skill
goal setting,0,0,0,0,0,0,0,1,1,0,1,0,0,3,Soft Skill
good driving record,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Soft Skill
google+,0,0,50,4,1,1,0,1,0,21,1,0,0,79,Soft Skill
governance,0,4,8,0,4,1,1,2,0,3,2,1,0,26,Soft Skill
grammar,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Soft Skill
hospitality,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Soft Skill
humility,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Soft Skill
ideation,0,1,0,0,0,0,2,1,0,0,2,0,0,6,Soft Skill
imagination,0,0,0,0,0,0,0,1,0,12,0,0,0,13,Soft Skill
influencing skills,0,2,0,0,2,1,0,0,0,0,2,0,1,8,Soft Skill
information technology,0,5,9,2,3,23,20,10,8,5,3,1,0,89,Soft Skill
infrastructure,0,6,7,9,4,8,21,8,0,21,15,1,0,100,Soft Skill
ingenuity,0,2,0,0,0,0,0,1,0,0,0,0,0,3,Soft Skill
innovation,0,5,6,0,12,51,23,54,0,9,13,1,0,174,Soft Skill
integration,0,7,14,7,7,12,41,13,0,12,7,1,0,121,Soft Skill
intellectual curiosity,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Soft Skill
internet research,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Soft Skill
interpersonal communications,5,6,3,0,4,7,7,3,0,4,6,1,0,46,Soft Skill
investigation,0,1,14,0,1,9,1,2,0,0,5,3,0,36,Soft Skill
leadership,17,26,6,5,15,32,26,22,23,40,47,9,28,296,Soft Skill
leadership development,0,1,0,0,1,0,0,0,0,1,1,0,0,4,Soft Skill
learning agility,4,0,0,0,0,0,2,0,0,0,0,0,0,6,Soft Skill
learning strategies,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Soft Skill
lifelong learning,0,0,0,0,0,0,0,0,0,1,1,0,0,2,Soft Skill
listening skills,2,0,0,0,0,0,0,1,0,0,1,0,0,4,Soft Skill
literacy,0,1,0,0,0,0,0,0,0,1,0,0,0,2,Soft Skill
management,37,53,58,38,44,52,58,66,65,53,71,33,67,695,Soft Skill
memos,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Soft Skill
mentorship,1,0,12,1,1,0,2,2,0,0,11,2,0,32,Soft Skill
microsoft excel,0,0,0,0,1,0,0,7,0,1,1,0,0,10,Soft Skill
microsoft office,0,15,13,0,5,7,10,10,0,18,7,1,1,87,Soft Skill
microsoft outlook,0,0,0,0,1,0,0,1,0,0,2,0,0,4,Soft Skill
microsoft powerpoint,0,2,0,0,0,0,0,1,0,0,0,0,0,3,Soft Skill
microsoft windows,0,0,0,0,0,2,0,0,0,1,0,0,0,3,Soft Skill
microsoft word,0,31,12,0,1,0,1,5,0,0,1,0,0,51,Soft Skill
mobile devices,0,0,0,18,0,0,0,1,0,0,0,0,0,19,Soft Skill
motor control,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Soft Skill
negotiation,10,4,7,6,7,5,6,1,0,4,2,0,0,52,Soft Skill
non-verbal communication,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Soft Skill
numbers,0,0,7,0,1,0,0,0,0,2,1,0,0,11,Soft Skill
operations,14,21,22,28,47,28,38,27,100,12,54,14,25,430,Soft Skill
organizational awareness,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Soft Skill
organizational skills,13,52,5,2,3,1,4,5,0,0,5,0,0,90,Soft Skill
patience,12,0,0,0,0,1,0,1,0,0,0,0,0,14,Soft Skill
people management,0,3,0,0,0,0,0,0,4,3,7,0,0,17,Soft Skill
persistence,1,0,0,0,0,0,0,1,0,0,2,0,0,4,Soft Skill
personal computers,0,0,7,0,1,0,0,9,0,0,0,0,0,17,Soft Skill
personal integrity,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Soft Skill
persuasive communication,0,0,6,0,0,0,0,0,0,0,0,0,0,6,Soft Skill
physical stamina,0,0,0,0,0,0,4,0,0,0,0,0,0,4,Soft Skill
planning,1,15,18,5,10,16,21,10,8,53,13,10,1,181,Soft Skill
portuguese language,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Soft Skill
preparedness,0,0,0,0,0,1,0,1,0,0,1,0,0,3,Soft Skill
presentations,27,34,8,25,8,1,8,16,0,5,13,20,0,165,Soft Skill
prioritization,2,4,6,0,0,2,4,3,0,5,7,0,0,33,Soft Skill
proactivity,0,0,0,0,0,0,2,0,0,0,0,0,0,2,Soft Skill
problem solving,25,45,5,6,9,22,28,14,0,30,32,0,0,216,Soft Skill
professionalism,0,0,3,0,0,2,0,0,0,0,2,0,0,7,Soft Skill
program management,0,5,1,0,1,0,6,1,0,4,8,0,0,26,Soft Skill
punctuality,0,11,0,0,0,0,0,0,0,0,0,0,0,11,Soft Skill
quality assurance,0,4,7,0,3,3,6,9,0,0,1,4,1,38,Soft Skill
quality driven,0,0,0,0,0,0,0,1,0,0,1,0,0,2,Soft Skill
rapport building,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Soft Skill
real estate,0,0,0,0,0,1,0,0,0,1,1,0,0,3,Soft Skill
recall,0,0,0,0,0,0,0,0,0,0,0,1,2,3,Soft Skill
relationship management,3,1,2,0,3,1,7,1,0,0,3,0,0,21,Soft Skill
reliability,0,2,2,23,0,9,5,2,0,26,17,1,0,87,Soft Skill
requirement prioritization,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Soft Skill
research,0,14,17,0,8,2,7,14,0,35,15,1,0,113,Soft Skill
reservations,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Soft Skill
resilience,0,1,0,0,0,0,0,1,0,3,0,0,0,5,Soft Skill
resourcefulness,0,0,2,1,0,0,1,1,0,0,0,0,0,5,Soft Skill
retail sales,0,0,0,17,0,0,1,1,0,6,0,1,0,26,Soft Skill
sales,49,20,3,56,18,11,3,8,88,46,15,45,46,408,Soft Skill
sanitation,0,0,0,0,0,0,0,0,0,0,0,27,1,28,Soft Skill
scheduling,0,10,0,0,1,0,2,5,42,3,4,6,0,73,Soft Skill
self starter,0,2,2,35,2,4,3,2,0,9,7,2,0,68,Soft Skill
self-motivation,0,0,0,0,0,0,2,0,0,0,0,0,0,2,Soft Skill
self-sufficiency,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Soft Skill
skype,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Soft Skill
social media,0,0,49,0,0,1,0,2,0,1,1,0,0,54,Soft Skill
social skills,6,0,0,0,0,0,0,0,0,0,0,0,0,6,Soft Skill
solutions focused,0,0,0,0,0,0,1,1,0,0,1,0,0,3,Soft Skill
sorting,0,2,0,0,14,0,0,2,0,0,1,0,0,19,Soft Skill
sourcing,0,4,4,0,5,0,21,2,0,3,2,1,0,42,Soft Skill
spanish language,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Soft Skill
spreadsheets,0,2,8,0,1,0,1,7,0,1,2,1,0,23,Soft Skill
strategic thinking,0,0,0,0,1,1,0,1,0,0,1,0,0,4,Soft Skill
success driven,0,0,2,0,0,0,0,0,0,0,0,0,0,2,Soft Skill
support colleagues,0,0,0,0,0,0,0,0,0,0,0,0,6,6,Soft Skill
teaching,12,0,0,7,0,0,1,1,0,0,2,7,0,30,Soft Skill
team building,0,0,0,0,0,0,3,1,0,5,2,0,1,12,Soft Skill
team leadership,9,2,2,1,3,1,0,3,3,6,4,0,0,34,Soft Skill
team management,3,1,1,2,8,1,2,1,0,3,12,0,29,63,Soft Skill
team motivation,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Soft Skill
team oriented,0,5,0,1,15,2,2,1,0,0,2,7,0,35,Soft Skill
team performance management,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Soft Skill
teamwork,0,3,12,0,3,17,6,1,8,7,6,0,0,63,Soft Skill
technical acumen,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Soft Skill
technical curiosity,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Soft Skill
telecommuting,0,0,0,0,0,0,0,25,0,0,0,0,0,25,Soft Skill
telephone skills,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Soft Skill
tenacity,4,0,0,0,0,0,0,0,0,0,1,0,0,5,Soft Skill
time constraints,1,1,0,0,0,0,1,0,0,6,0,0,0,9,Soft Skill
time management,13,6,2,1,4,4,5,3,0,1,7,0,0,46,Soft Skill
timelines,0,12,4,0,2,1,8,5,4,0,3,7,0,46,Soft Skill
training and development,0,1,0,0,0,0,0,0,0,0,0,0,1,2,Soft Skill
